null,"23698-3207","23698","COFFMAN, W. RONNIE","W.","RONNIE","COFFMAN","WRC2","PI","CALS CU Agriculture Experiment Station","0102","3207","23698","A001","ISAAA AMERICENTER ADMINISTRATION","01L6","CALS IP Uncategorized","INTERNATIONAL SERV/ACQ OF AGRI-BIOTECH","1760","1992","2017","2821902","CONTRACT","","","ISAAA","","","CALS International Programs","ASAP"
null,"69104-33587","69104","BOGDANOVE, ADAM J","ADAM","J ","BOGDANOVE","AJB7","PI","CALS PP-IT Uncategorized","01G2","33587","69104","A001","TAL EFFECTOR TARGETING IN PLANT GENOMES","0153","CALS Plant Pathology - Ithaca","IOWA STATE UNIVERSITY","1752","2012","2016","812974","GRANT","5166","DIRECTORATE FOR BIOLOGICAL SCIENCES NSF","IOWA STATE U","","","CALS School of Integrative Plant Science","ASAP"
null,"67280-3750","67280","BROWN, WILLIAM J","WILLIAM","J","BROWN","WJB5","PI","Molecular Biology and Genetics","2165","3750","67280","A001","ROLE OF PHOSPHOLIPID REMODELING IN SECRETION AND GOLGI FUNCTION IN MAMMALIAN CELLS","2165","Molecular Biology and Genetics","NATL INST OF HEALTH DHHS","476","2013","2017","1192674","GRANT","","","DHHS","NIH","","Molecular Biology and Genetics","ASAP"
null,"77493-35490","77493","BROWN, LAURA S","LAURA","S","BROWN","LSB7","PI","Center for Teaching Excellence","3312","35490","77493","A001","CREATING COMMUNITY AROUND CONNECTIONS","3312","Center for Teaching Excellence","ASSOCIATION OF AMERICAN COLLEGES AND UNIVERSITIES","37858","2016","2017","10000","GRANT","","","AACU","","","Center for Teaching Excellence","ASAP"
null,"76153-3374","76153","SMART, CHRISTINE D","CHRISTINE","D","SMART","CDS14","CO","CALS PP-IT Uncategorized","01G2","3374","76153","A001","GENOMICS-ASSISTED BREEDING FOR LEAF RUST (MELAMPSORA) RESISTANCE IN SHRUB WILLOW (SALIX) BIOENERGY CROPS","0632","CALS Horticulture - Geneva","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","19473","2015","2018","1000000","GRANT","","","USDA","USDA-NIFA","","CALS School of Integrative Plant Science","ASAP"
null,"73976-1333","73976","GARDNER, RONALD D","RONALD","D","GARDNER","RDG5","PI","CALS ENT-IT Uncategorized","01E2","1333","73976","A001","DEVELOPMENT OF A PLAN TO DIVERSIFY AND STABILIZE FUTURE FUNDING FOR CORNELL'S PESTICIDE MANAGEMENT","0113","CALS CCE PMEP","CROPLIFE FOUNDATION","42421","2014","2017","75000","CONTRACT","","","CROPLIFE","","","CALS Cornell Cooperative Extension","ASAP"
null,"73215-3992","73215","LINN, CHARLES E","CHARLES","E","LINN","CEL1","PI","CALS ENT-GN Uncategorized","06A1","3992","73215","A001","RAPID DIAGNOSTICS FOR CRYPTIC INSECT PESTS: AN INTEGRATIVE TEST CASE USING THE APPLE MAGGOT FLY","06A1","CALS ENT-GN Uncategorized","UNIVERSITY OF NOTRE DAME","3693","2015","2018","22079","GRANT","19473","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","NOTRE DAME","","","CALS Entomology","AMSC"
null,"64080-4066","64080","CRANE, BRIAN","BRIAN","","CRANE","BC69","KP","Chemistry and Chemical Biology","2158","4066","64080","A001","TRAINING IN MOLECULAR PHYSICS OF BIOLOGICAL SYSTEMS","3476","Lab. of Atomic & Solid State Physics","NATL INST OF GENERAL MEDICAL SCIENCES, NIH","1214","2012","2017","2527988","GRANT","","","DHHS","NIH","NIH NIGMS","Lab. of Atomic & Solid State Physics","APA"
http://scholars.cornell.edu/individual/ubw1,Materials Science and Engineering,http://scholars.cornell.edu/individual/org42189,"72633-1561","72633","WIESNER, ULRICH B","ULRICH","B","WIESNER","UBW1","KP","Materials Science Engineering","2374","1561","72633","A001","MRI: ACQUISITION OF A CRYOGENIC, ABERRATION-CORRECTED SCANNING TRANSMISSION ELECTRON MICROSCOPE FOR ADVANCED MATERIALS RESEARCH AND EDUCATION","2371","Applied & Engineering Physics","NATL SCIENCE FOUNDATION","2244","2014","2016","2698364","GRANT","","","NSF","","","Applied & Engineering Physics","ASAP"
http://scholars.cornell.edu/individual/dgm224,Mechanical and Aerospace Engineering,http://scholars.cornell.edu/individual/org66771,"78448-47389","78448","MACMARTIN, DOUGLAS G","DOUGLAS","G","MACMARTIN","DGM224","PI","Mechanical & Aerospace Engineering","2355","47389","78448","A001","A RIGOROUS EVALUATION OF THE POTENTIALS AND THE LIMITATIONS OF CLIMATE PERTURBATIONS USING SYSTEMS ENGINEERING APPROACHES","2355","Mechanical & Aerospace Engineering","BATTELLE-PACIFIC NORTHWEST","866","2015","2016","79000","CONTRACT","483","DEPARTMENT OF ENERGY","BMI","BATTELLE-PAC NW","","Mechanical & Aerospace Engineering","ASAP"
null,"74242-1966","74242","TURGEON, BARBARA G","BARBARA","G","TURGEON","BGT1","PI","CALS PP-IT Uncategorized","01G2","1966","74242","A001","EXTRACELLULAR DNA: IN DEFENSE OF PLANT CELLS","0153","CALS Plant Pathology - Ithaca","UNIVERSITY OF ARIZONA","2876","2015","2018","202000","GRANT","5166","DIRECTORATE FOR BIOLOGICAL SCIENCES NSF","U OF ARIZONA","","","CALS School of Integrative Plant Science","ASAP"
null,"76699-17689","76699","SHEN, KYLE","KYLE","","SHEN","KMS272","PI","Lab. of Atomic & Solid State Physics","3476","17689","76699","A001","ENHANCING SUPERCONDUCTIVITY AT ATOMICALLY PRECISE INTERFACES","3476","Lab. of Atomic & Solid State Physics","AIR FORCE OFFICE OF SCIENTIFIC RESEARCH","1241","2015","2020","1000000","GRANT","","","DOD","AF","AFOSR","Lab. of Atomic & Solid State Physics","ASAP"
http://scholars.cornell.edu/individual/kz33,Mechanical and Aerospace Engineering,http://scholars.cornell.edu/individual/org66771,"77479-14668","77479","ZHANG, KE MAX","KE","MAX","ZHANG","KZ33","PI","Mechanical & Aerospace Engineering","2355","14668","77479","A001","MODELING THE AIR QUALITY IMPACTS OF QUALITY IMPACT OF THE CHP FACILITY AT SUNY-ESF USING SCICHEM","2355","Mechanical & Aerospace Engineering","ELECTRIC POWER RESEARCH INSTITUE","1400","2015","2016","25000","CONTRACT","","","EPRI","","","Mechanical & Aerospace Engineering","ASAP"
http://scholars.cornell.edu/individual/mw24,Civil and Environmental Engineering,http://scholars.cornell.edu/individual/org15006,"70488-2384","70488","WEBER-SHIRK, MONROE","MONROE","","WEBER-SHIRK","MW24","PI","Civil & Environmental Engineering","2365","2384","70488","A001","COLLABORATION AGREEMENT","2365","Civil & Environmental Engineering","AGUACLARA LLC","40243","2013","2018","0","COOP","","","AGUACLARA","","","Civil & Environmental Engineering","ASAP"
null,"73056-36749","73056","OPHIR, ALEXANDER","ALEXANDER","","OPHIR","AGO25","PI","Psychology","2188","36749","73056","A001","INFLUENCES OF PATERNAL AND MATERNAL CARE ON OFFSPRING SOCIAL COGNITION","2188","Psychology","NATL INST OF CHILD HEALTH & HUMAN DEVELOPMENT, NIH","1208","2015","2019","1295218","GRANT","","","DHHS","NIH","NIH NICHD","Psychology","ASAP"
