Department,PrjInvId,Project Id,Person,NetId,Role,Start,End,Cost,Type,Title
Applied and Engineering Physics,58459-2369,58459,"CRAIGHEAD, HAROLD G",HGC1,CO,2009,2015,3448708,GRANT,DEVELOPMENT OF HIGH THROUGHPUT APTAMER-BASED PROTEIN CAPTURE/DETECTION ASSAYS TOWARDS COMPREHENSIVE ANALYSIS OF HUMAN PROTEOME
Applied and Engineering Physics,59070-20187,59070,"FENNIE, CRAIG J",CJF76,CO,2009,2016,4140000,GRANT,SISGR: USING INTERFACES TO CREATE STRONGLY-COUPLED MAGNETIC-FERROELECTRICS
Applied and Engineering Physics,59070-5784,59070,"MULLER, DAVID A",DM24,CO,2009,2016,4140000,GRANT,SISGR: USING INTERFACES TO CREATE STRONGLY-COUPLED MAGNETIC-FERROELECTRICS
Applied and Engineering Physics,55364-3021,55364,"BROCK, JOEL D",JDB20,CO,2010,2015,32040000,COOP,IMR: PHASE 1B ENERGY RECOVERY LINAC (ERL) TECHNOLOGY R&D
Applied and Engineering Physics,58881-3021,58881,"BROCK, JOEL D",JDB20,PI,2010,2016,77586038,COOP,OPERATION OF CORNELL HIGH ENERGY SYNCHROTRON SOURCE (CHESS)
Applied and Engineering Physics,59479-20187,59479,"FENNIE, CRAIG J",CJF76,PI,2010,2016,700000,GRANT,STRONGLY COUPLED MULTIFERROIC MATERIALS BY DESIGN - HIERARCHICAL ORGANIZATION AT THE ATOMIC AND NANOSCALES
Applied and Engineering Physics,61533-2369,61533,"CRAIGHEAD, HAROLD G",HGC1,CO,2010,2016,2585457,GRANT,IN VIVO DETECTION AND IMAGING OF EPIGENETIC HISTONE MODIFICATIONS AND MODIFYING ENZYMES USING MULTIVALENT RNA APTAMERS
Applied and Engineering Physics,62769-20187,62769,"FENNIE, CRAIG J",CJF76,PI,2011,2016,400000,GRANT,CAREER: FERROIC COUPLING IN COMPLEX OXIDE HETEROSTRUCTURES FROM FIRST PRINCIPLES
Applied and Engineering Physics,63016-2369,63016,"CRAIGHEAD, HAROLD G",HGC1,KP,2011,2017,18359999,COOP,CORNELL CENTER FOR MATERIALS RESEARCH - MRSEC
Applied and Engineering Physics,63016-5784,63016,"MULLER, DAVID A",DM24,KP,2011,2017,18359999,COOP,CORNELL CENTER FOR MATERIALS RESEARCH - MRSEC
Applied and Engineering Physics,63016-2455,63016,"BUHRMAN, ROBERT A",RAB8,KP,2011,2017,18359999,COOP,CORNELL CENTER FOR MATERIALS RESEARCH - MRSEC
Applied and Engineering Physics,63016-20187,63016,"FENNIE, CRAIG J",CJF76,KP,2011,2017,18359999,COOP,CORNELL CENTER FOR MATERIALS RESEARCH - MRSEC
Applied and Engineering Physics,63016-3021,63016,"BROCK, JOEL D",JDB20,KP,2011,2017,18359999,COOP,CORNELL CENTER FOR MATERIALS RESEARCH - MRSEC
Applied and Engineering Physics,63232-989,63232,"KUSSE, BRUCE R",BRK2,CO,2011,2015,420000,GRANT,MAGNETIC FIELD ADVECTION IN HIGH ENERGY DENSITY PLASMAS PRODUCED BY RADIAL FOIL CONFIGURATIONS
Applied and Engineering Physics,63410-2913,63410,"WISE, FRANK W",FWW1,PI,2011,2015,812000,GRANT,CHARGE TRANSFER ACROSS THE BOUNDARY OF PHOTON-HARVESTING NANOCRYSTALS
Applied and Engineering Physics,64988-2913,64988,"WISE, FRANK W",FWW1,KP,2012,2016,1594667,GRANT,TECHNOLOGY DEVELOPMENT FOR IN VIVO DEEP TISSUE IMAGING
Applied and Engineering Physics,65631-20187,65631,"FENNIE, CRAIG J",CJF76,CO,2012,2015,1321554,COOP,NSF NANOSYSTEMS ENGINEERING RESEARCH CENTER FOR TRANSLATIONAL APPLICATIONS OF NANOSCALE MULTIFERROIC SYSTEMS TANMS
Applied and Engineering Physics,65945-2369,65945,"CRAIGHEAD, HAROLD G",HGC1,CO,2012,2016,1680769,GRANT,TOOLS FOR SINGLE MOLECULE AND SINGLE CELL EPIGENOMIC ANALYSIS
Applied and Engineering Physics,66231-989,66231,"KUSSE, BRUCE R",BRK2,PI,2012,2015,675000,GRANT,THE DYNAMICS OF HIGH ENERGY DENSITY PLASMAS IN RADIAL FOIL CONFIGURATIONS.
Applied and Engineering Physics,66307-3464,66307,"LOVELACE, RICHARD V",RVL1,CO,2012,2016,342572,GRANT,LAUNCHING AND COLLIMATION OF OUTFLOWS FROM YOUNG SOLAR-TYPE STARS
Applied and Engineering Physics,66970-20187,66970,"FENNIE, CRAIG J",CJF76,PI,2012,2016,230000,GRANT,DMREF: MULTIFUNCTIONAL INTERFACIAL MATERIALS BY DESIGN
Applied and Engineering Physics,67350-989,67350,"KUSSE, BRUCE R",BRK2,CO,2012,2017,11000000,COOP,CENTER FOR PULSED-POWER-DRIVEN HIGH-ENERGY-DENSITY PLASMAS
Applied and Engineering Physics,69529-2455,69529,"BUHRMAN, ROBERT A",RAB8,PI,2012,2015,232008,GRANT,LOW TEMPERATURE SPIN-TORQUE MRAM FOR INTEGRATION WITH SUPERCONDUCTING DIGITAL ELECTRONICS
Applied and Engineering Physics,68013-30910,68013,"FUCHS, GREGORY D",GDF9,PI,2013,2018,600000,GRANT,CAREER: QUANTUM INFORMATION SCIENCE WITH SINGLE DEFECTS IN ZNO
Applied and Engineering Physics,68685-20187,68685,"FENNIE, CRAIG J",CJF76,PI,2013,2015,492583,CONTRACT,CENTER OF FUNCTION ACCELERATED NANOMATERIAL ENGINEERING (FAME)
Applied and Engineering Physics,68963-2913,68963,"WISE, FRANK W",FWW1,PI,2013,2016,360433,GRANT,HIGH-PERFORMANCE FEMTOSECOND FIBER LASERS BASE DON NEW PULSE EVOLUTIONS
Applied and Engineering Physics,69310-2913,69310,"WISE, FRANK W",FWW1,PI,2013,2016,397373,GRANT,"NOVEL NONLINEAR OPTICAL PROCESSES IN ACTIVE, RANDOM, AND NANOSTRUCTURED SYSTEMS"
Applied and Engineering Physics,68964-36589,68964,"PABIT, SERSITA SUZETTE A",SAP73,KP,2014,2018,1363203,GRANT,RNA DYNAMICS: FROM GLOBAL STRUCTURE TO ATOMIC DETAIL
Applied and Engineering Physics,69874-3021,69874,"BROCK, JOEL D",JDB20,PI,2014,2019,100401477,COOP,OPERATION OF CORNELL HIGH ENERGY SYNCHROTRON SOURCE (CHESS)
Applied and Engineering Physics,70993-3464,70993,"LOVELACE, RICHARD V",RVL1,PI,2014,2017,332892,GRANT,"TIME-DEPENDENT, ONE AND TWO-SIDED JETS FROM FORMING STARS"
Applied and Engineering Physics,71418-20187,71418,"FENNIE, CRAIG J",CJF76,PI,2014,2020,360000,COOP,FERROIC COUPLING AND THE ROLE OF DIMENSIONALITY IN RUDDLESDEN-POPPER COMPLEX OXIDES
Applied and Engineering Physics,71459-2455,71459,"BUHRMAN, ROBERT A",RAB8,PI,2014,2015,285016,CONTRACT,CRYOGENIC COMPUTING COMPLEXITY: THRUST 1 MEMORY
Applied and Engineering Physics,71594-5784,71594,"MULLER, DAVID A",DM24,PI,2014,2016,170000,CONTRACT,OPEN-SOURCE VISUALIZATION AND ANALYSIS PLATFORM FOR 3D RECONSTRUCTIONS OF MATERIALS BY TRANSMISSION ELECTRON MICROSCOPY
Applied and Engineering Physics,71642-2455,71642,"BUHRMAN, ROBERT A",RAB8,PI,2014,2016,300000,CONTRACT,DEVELOPMENT OF THIN FILM MATERIAL SYSTEMS FOR STT- MRAM: ENHANCEMENT OF SPIN HALL EFFECTS AND IMPROVEMENTS OF PERPENDICULAR MAGNETIC ANISOTROPY PROPERTIES
Applied and Engineering Physics,71971-30910,71971,"FUCHS, GREGORY D",GDF9,PI,2014,2019,750000,GRANT,"TIME-RESOLVED ELECTRICAL, OPTICAL, AND THERMAL PROBES OF TOPOLOGICAL SPIN TEXTURES IN MAGNETIC NANOSTRUCTURES"
Applied and Engineering Physics,72237-20187,72237,"FENNIE, CRAIG J",CJF76,CO,2014,2019,12000,GRANT,MOORE FOUNDATION PROPOSAL
Applied and Engineering Physics,72260-5784,72260,"MULLER, DAVID A",DM24,PI,2014,2015,90141,CONTRACT,MECHANISTIC UNDERSTANDING OF HIGH POWER PERFORMANCE OF LOW PT-LOADING ELECTROCATALYSTS BY 3D TEM TOMOGRAPHY 
Applied and Engineering Physics,72392-30910,72392,"FUCHS, GREGORY D",GDF9,PI,2014,2017,510000,GRANT,QUANTUM SPIN-PHONON INTERACTIONS WITH NITROGEN-VACANCY CENTERS IN DIAMOND
Applied and Engineering Physics,72633-5784,72633,"MULLER, DAVID A",DM24,CO,2014,2016,2698364,GRANT,"MRI: ACQUISITION OF A CRYOGENIC, ABERRATION-CORRECTED SCANNING TRANSMISSION ELECTRON MICROSCOPE FOR ADVANCED MATERIALS RESEARCH AND EDUCATION"
Applied and Engineering Physics,72633-25587,72633,"KOURKOUTIS, LENA FITTING",LF56,PI,2014,2016,2698364,GRANT,"MRI: ACQUISITION OF A CRYOGENIC, ABERRATION-CORRECTED SCANNING TRANSMISSION ELECTRON MICROSCOPE FOR ADVANCED MATERIALS RESEARCH AND EDUCATION"
Applied and Engineering Physics,72801-30910,72801,"FUCHS, GREGORY D",GDF9,PI,2014,2019,1000000,GRANT,SPATIOTEMPORAL IMAGING OF MAGNETIZATION DYNAMICS AT THE NANOSCALE: BREAKING THE DIFFRACTION LIMIT
Applied and Engineering Physics,73565-3021,73565,"BROCK, JOEL D",JDB20,CO,2014,2016,932000,GRANT,INSITU@CHESS: INTEGRATED SIMULATION AND X-RAY INTERROGATION TOOLS AND TRAINING FOR UMECHANICS AT THE CORNELL HIGH ENERGY SYNCHROTRON SOURCE
Applied and Engineering Physics,73107-25587,73107,"KOURKOUTIS, LENA FITTING",LF56,PI,2015,2019,875000,GRANT,UNDERSTANDING AND CONTROLLING EMERGENT PHENOMENA IN COMPLEX OXIDES
Applied and Engineering Physics,74444-30910,74444,"FUCHS, GREGORY D",GDF9,PI,2015,2018,450000,GRANT,REU SITE: INTERDISCIPLINARY MATERIALS RESEARCH
Applied and Engineering Physics,74482-3021,74482,"BROCK, JOEL D",JDB20,KP,2015,2018,404625,GRANT,REU SITE: ACCELERATOR PHYSICS AND SYNCHROTRON RADIATION SCIENCE
Applied and Engineering Physics,76170-5784,76170,"MULLER, DAVID A",DM24,PI,2015,2020,0,CONTRACT,ACADEMIC PARTNERSHIP COLLABORATIVE AGREEMENT
Applied and Engineering Physics,77019-5784,77019,"MULLER, DAVID A",DM24,PI,2015,2016,98134,CONTRACT,MECHANISTIC UNDERSTANDING OF HIGH POWER PERFORMANCE OF LOW PT-LOADING ELECTROCATALYSTS BY 3D TEM TOMOGRAPHY
Applied and Engineering Physics,77290-2455,77290,"BUHRMAN, ROBERT A",RAB8,PI,2015,2018,386000,GRANT,LOW TEMPERATURE SPIN-TORQUE MRAM FOR INTEGRATION WITH SUPERCONDUCTING DIGITAL ELECTRONICS
Biomedical Engineering,58266-20007,58266,"KING, MICHAEL R",MRK93,PI,2010,2015,1969037,GRANT,MODEL OF PLATELET ADHESION AND THROMBUS FORMATION
Biomedical Engineering,59995-14988,59995,"BUTCHER, JONATHAN T",JTB47,PI,2010,2016,443000,GRANT,CAREER: ENGINEERING FUNCTIONAL TISSUE ASSEMBLY AND REMODELING THROUGH DEVELOPMENTAL BIOLOGY
Biomedical Engineering,60606-24447,60606,"HERNANDEZ, CHRISTOPHER J",CJH275,PI,2010,2015,1132354,GRANT,BIOMECHANICAL EFFECTS OF MICROSTRUCTURAL FLAWS IN CANCELLOUS BONE
