,"23698-3207","23698","COFFMAN, W. RONNIE","W.","RONNIE","COFFMAN","WRC2","PI","CALS CUAES Administration","01H5","3207","23698","A001","ISAAA AMERICENTER ADMINISTRATION","01L6","CALS IP Uncategorized","INTERNATIONAL SERV/ACQ OF AGRI-BIOTECH","1760","1992","2017","2821902","CONTRACT","","","ISAAA","","","CALS International Programs","ASAP"
,"69104-33587","69104","BOGDANOVE, ADAM J","ADAM","J ","BOGDANOVE","AJB7","PI","CALS PP-IT Uncategorized","01G2","33587","69104","A001","TAL EFFECTOR TARGETING IN PLANT GENOMES","01G2","CALS PP-IT Uncategorized","IOWA STATE UNIVERSITY","1752","2012","2015","812974","GRANT","5166","DIRECTORATE FOR BIOLOGICAL SCIENCES NSF","IOWA STATE U","","","CALS Plant Pathology","APA"
,"58881-4584","58881","FONTES, ERNEST","ERNEST","","FONTES","EF11","CO","Cornell High Energy Synchrotron Source","3470","4584","58881","A001","OPERATION OF CORNELL HIGH ENERGY SYNCHROTRON SOURCE (CHESS)","3470","Cornell High Energy Synchrotron Source","NATL SCIENCE FOUNDATION","2244","2010","2016","77586038","COOP","","","NSF","","","Cornell Lab Accelerator Sciences & Ed","ASAP"
,"67280-3750","67280","BROWN, WILLIAM J","WILLIAM","J","BROWN","WJB5","PI","Molecular Biology and Genetics","2165","3750","67280","A001","ROLE OF PHOSPHOLIPID REMODELING IN SECRETION AND GOLGI FUNCTION IN MAMMALIAN CELLS","2165","Molecular Biology and Genetics","NATL INST OF HEALTH DHHS","476","2013","2017","1192674","GRANT","","","DHHS","NIH","","Molecular Biology and Genetics","APA"
,"73976-1333","73976","GARDNER, RONALD D","RONALD","D","GARDNER","RDG5","PI","CALS ENT-IT Uncategorized","01E2","1333","73976","A001","DEVELOPMENT OF A PLAN TO DIVERSIFY AND STABILIZE FUTURE FUNDING FOR CORNELL'S PESTICIDE MANAGEMENT","0113","CALS CCE PMEP","CROPLIFE FOUNDATION","42421","2014","2017","75000","CONTRACT","","","CROPLIFE","","","CALS Cornell Cooperative Extension","ASAP"
,"73215-3992","73215","LINN, CHARLES E","CHARLES","E","LINN","CEL1","PI","CALS ENT-GN Uncategorized","06A1","3992","73215","A001","RAPID DIAGNOSTICS FOR CRYPTIC INSECT PESTS: AN INTEGRATIVE TEST CASE USING THE APPLE MAGGOT FLY","06A1","CALS ENT-GN Uncategorized","UNIVERSITY OF NOTRE DAME","3693","2015","2018","22079","GRANT","19473","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","NOTRE DAME","","","CALS Entomology","ASAP"
,"71356-37489","71356","SKELLY, SONJA M","SONJA","M","SKELLY","SMS92","PI","CALS Plantations Education","01M9","37489","71356","A001","CORNELL PLANTATIONS BOTANICAL GARDEN INTERPRETATION","01M4","CALS Plantations Administration","STANLEY SMITH HORTICULTURAL","2630","2014","2015","19900","GRANT","","","S SMITH HORT","","","CALS Plantations","ASAP"
,"64080-4066","64080","CRANE, BRIAN","BRIAN","","CRANE","BC69","KP","Chemistry and Chemical Biology","2158","4066","64080","A001","TRAINING IN MOLECULAR PHYSICS OF BIOLOGICAL SYSTEMS","3476","Lab. of Atomic & Solid State Physics","NATL INST OF GENERAL MEDICAL SCIENCES, NIH","1214","2012","2017","2527988","GRANT","","","DHHS","NIH","NIH NIGMS","Lab. of Atomic & Solid State Physics","ASAP"
,"72633-1561","72633","WIESNER, ULRICH B","ULRICH","B","WIESNER","UBW1","KP","Materials Science Engineering","2374","1561","72633","A001","MRI: ACQUISITION OF A CRYOGENIC, ABERRATION-CORRECTED SCANNING TRANSMISSION ELECTRON MICROSCOPE FOR ADVANCED MATERIALS RESEARCH AND EDUCATION","2371","Applied & Engineering Physics","NATL SCIENCE FOUNDATION","2244","2014","2016","2698364","GRANT","","","NSF","","","Applied & Engineering Physics","ASAP"
,"70488-2384","70488","WEBER-SHIRK, MONROE","MONROE","","WEBER-SHIRK","MW24","PI","Civil & Environmental Engineering","2365","2384","70488","A001","COLLABORATION AGREEMENT","2365","Civil & Environmental Engineering","AGUACLARA LLC","40243","2013","2018","0","COOP","","","AGUACLARA","","","Civil & Environmental Engineering","ASAP"
