"19473","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","","","USDA","USDA-NIFA",""
"11334","CORNELL JOAN AND SANFORD I. WEILL MEDICAL COLLEGE","2899","UNIVERSITY OF IOWA","WCM","",""
"1999","MICHIGAN STATE UNIVERSITY","1206","NATL INST OF ALLERGY & INFECTIOUS DISEASE NIH","MICHIGAN ST U","",""
"2337","NYS OFFICE OF MENTAL HEALTH","","","NYS","OMH",""
"2324","NEW YORK STATE ENERGY RESEARCH AND DEVELOPMENT AUTHORITY ","","","NYS","NYSERDA",""
"2324","NEW YORK STATE ENERGY RESEARCH AND DEVELOPMENT AUTHORITY ","","","NYS","NYSERDA",""
"11334","CORNELL JOAN AND SANFORD I. WEILL MEDICAL COLLEGE","1206","NATL INST OF ALLERGY & INFECTIOUS DISEASE NIH","WCM","",""
"29257","USDA ARS HORTICULTURAL CROPS RESEARCH UNIT","19473","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","USDA","ARS","USDA ARS HCR"
"764","AMGEN INC","","","AMGEN","",""
"476","NATL INST OF HEALTH DHHS","","","DHHS","NIH",""
"50341","JAGUAR ANIMAL HEALTH","","","JAGUAR ANIMAL HEALTH","",""
"19473","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","","","USDA","USDA-NIFA",""
"19473","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","","","USDA","USDA-NIFA",""
"11334","CORNELL JOAN AND SANFORD I. WEILL MEDICAL COLLEGE","38518","NATL CTR FOR ADVANCING TRANSLATIONAL SCIENCES","WCM","",""
"31918","BAYER ANIMAL HEALTH GMBH","","","BAYER ANIMAL HLTH","",""
"2244","NATL SCIENCE FOUNDATION","","","NSF","",""
"1981","MELLON, ANDREW W. FDN","","","MELLON","",""
"27895","OFFICE OF THE DIRECTOR NIH","","","DHHS","NIH","NIH OD"
"2990","AGRICULTURAL MARKETING SERV, USDA","","","USDA","AMS",""
"453","AMERICAN CHEMICAL SOCIETY","","","AMER CHEM SOC","",""
"30777","TERRA FOUNDATION FOR AMERICAN ART","","","TERRA ","",""
"5166","DIRECTORATE FOR BIOLOGICAL SCIENCES NSF","","","NSF","NSF BIO",""
"1550","GREAT LAKES FISHERY COMM","","","GRT LKS FISH","",""
"16834","ARMY RESEARCH DEVELOPMENT AND ENGINEERING COMMAND","","","ARMYRDECOM","",""
"2459","PENNSYLVANIA STATE UNIV","3015","NATURAL RESOURCES CONSERVATION SERVICE, USDA","PENN STATE","",""
